,Exp,Signal,Critical Point pos,Critical Point heights,Absolute Critical Point heights,Threshold,Critical Point proms,Beginning of oscillation,End of oscillation,ToD,Sample rate,Is peak,Is trough
0,wscepfl0090,wscepfl0090_pos_30,2.0,0.009433962264150943,348.0,0.0,0.03,0.0,27.0,90,10,False,True
1,wscepfl0090,wscepfl0090_pos_30,6.0,0.11406518010291596,470.0,0.0,0.03,0.0,27.0,90,10,True,False
2,wscepfl0090,wscepfl0090_pos_30,9.0,0.018867924528301886,359.0,0.0,0.03,0.0,27.0,90,10,False,True
3,wscepfl0090,wscepfl0090_pos_30,14.0,1.0,1503.0,0.0,0.03,0.0,27.0,90,10,True,False
4,wscepfl0090,wscepfl0090_pos_32,1.0,0.48825503355704697,628.0,0.0,0.03,0.0,16.0,76,10,True,False
5,wscepfl0090,wscepfl0090_pos_32,4.0,0.08221476510067115,386.0,0.0,0.03,0.0,16.0,76,10,False,True
6,wscepfl0090,wscepfl0090_pos_32,8.0,1.0,933.0,0.0,0.03,0.0,16.0,76,10,True,False
7,wscepfl0090,wscepfl0090_pos_32_2,2.0,0.005270092226613966,341.0,0.0,0.03,0.0,40.0,40,10,False,True
8,wscepfl0090,wscepfl0090_pos_32_2,5.0,0.1383399209486166,442.0,0.0,0.03,0.0,40.0,40,10,True,False
9,wscepfl0090,wscepfl0090_pos_32_2,8.0,0.026350461133069828,357.0,0.0,0.03,0.0,40.0,40,10,False,True
10,wscepfl0090,wscepfl0090_pos_32_2,11.0,0.2147562582345191,500.0,0.0,0.03,0.0,40.0,40,10,True,False
11,wscepfl0090,wscepfl0090_pos_32_2,18.0,0.0,337.0,0.0,0.03,0.0,40.0,40,10,False,True
12,wscepfl0090,wscepfl0090_pos_32_2,32.0,1.0,1096.0,0.0,0.03,0.0,40.0,40,10,True,False
13,wscepfl0090,wscepfl0090_pos_34,1.0,0.2448210922787194,465.0,0.0,0.03,0.0,23.0,48,10,True,False
14,wscepfl0090,wscepfl0090_pos_34,4.0,0.062146892655367235,368.0,0.0,0.03,0.0,23.0,48,10,False,True
15,wscepfl0090,wscepfl0090_pos_34,8.0,0.8267419962335216,774.0,0.0,0.03,0.0,23.0,48,10,True,False
16,wscepfl0090,wscepfl0090_pos_34,12.0,0.15630885122410546,418.0,0.0,0.03,0.0,23.0,48,10,False,True
17,wscepfl0090,wscepfl0090_pos_34,16.0,1.0,866.0,0.0,0.03,0.0,23.0,48,10,True,False
18,wscepfl0090,wscepfl0090_pos_35,2.0,0.1447084233261339,410.0,0.0,0.03,0.0,21.0,43,10,True,False
19,wscepfl0090,wscepfl0090_pos_35,4.0,0.056155507559395246,369.0,0.0,0.03,0.0,21.0,43,10,False,True
20,wscepfl0090,wscepfl0090_pos_35,7.0,0.8682505399568035,745.0,0.0,0.03,0.0,21.0,43,10,True,False
21,wscepfl0090,wscepfl0090_pos_35,11.0,0.26997840172786175,468.0,0.0,0.03,0.0,21.0,43,10,False,True
22,wscepfl0090,wscepfl0090_pos_35,14.0,1.0,806.0,0.0,0.03,0.0,21.0,43,10,True,False
23,wscepfl0090,wscepfl0090_pos_35_1,,,,,,,,90,10,False,False
24,wscepfl0090,wscepfl0090_pos_39,2.0,0.16728624535315986,429.0,0.0,0.03,0.0,29.0,53,10,True,False
25,wscepfl0090,wscepfl0090_pos_39,6.0,0.016728624535315983,348.0,0.0,0.03,0.0,29.0,53,10,False,True
26,wscepfl0090,wscepfl0090_pos_39,10.0,0.4591078066914498,586.0,0.0,0.03,0.0,29.0,53,10,True,False
27,wscepfl0090,wscepfl0090_pos_39,14.0,0.10780669144981413,397.0,0.0,0.03,0.0,29.0,53,10,False,True
28,wscepfl0090,wscepfl0090_pos_39,19.0,1.0,877.0,0.0,0.03,0.0,29.0,53,10,True,False
29,wscepfl0090,wscepfl0090_pos_40,1.0,0.09980430528375733,398.0,0.0,0.03,0.0,18.0,90,10,False,True
30,wscepfl0090,wscepfl0090_pos_40,4.0,0.47162426614481406,588.0,0.0,0.03,0.0,18.0,90,10,True,False
31,wscepfl0090,wscepfl0090_pos_40,7.0,0.17025440313111545,434.0,0.0,0.03,0.0,18.0,90,10,False,True
32,wscepfl0090,wscepfl0090_pos_40,11.0,1.0,858.0,0.0,0.03,0.0,18.0,90,10,True,False
33,wscepfl0090,wscepfl0090_pos_45,3.0,0.11502347417840375,386.0,0.0,0.03,0.0,29.0,90,10,True,False
34,wscepfl0090,wscepfl0090_pos_45,5.0,0.02112676056338028,346.0,0.0,0.03,0.0,29.0,90,10,False,True
35,wscepfl0090,wscepfl0090_pos_45,8.0,1.0,763.0,0.0,0.03,0.0,29.0,90,10,True,False
36,wscepfl0090,wscepfl0090_pos_45,13.0,0.1572769953051643,404.0,0.0,0.03,0.0,29.0,90,10,False,True
37,wscepfl0090,wscepfl0090_pos_45,16.0,0.6103286384976526,597.0,0.0,0.03,0.0,29.0,90,10,True,False
38,wscepfl0090,wscepfl0090_pos_45,20.0,0.03051643192488263,350.0,0.0,0.03,0.0,29.0,90,10,False,True
39,wscepfl0090,wscepfl0090_pos_45,24.0,0.19483568075117372,420.0,0.0,0.03,0.0,29.0,90,10,True,False
40,wscepfl0090,wscepfl0090_pos_46,3.0,0.4750430292598967,610.0,0.0,0.03,0.0,16.0,64,10,True,False
41,wscepfl0090,wscepfl0090_pos_46,6.0,0.09466437177280551,389.0,0.0,0.03,0.0,16.0,64,10,False,True
42,wscepfl0090,wscepfl0090_pos_46,9.0,1.0,915.0,0.0,0.03,0.0,16.0,64,10,True,False
43,wscepfl0090,wscepfl0090_pos_48,,,,,,,,90,10,False,False
44,wscepfl0090,wscepfl0090_pos_49,4.0,0.03505154639175258,357.0,0.0,0.03,0.0,19.0,47,10,False,True
45,wscepfl0090,wscepfl0090_pos_49,6.0,0.37731958762886597,523.0,0.0,0.03,0.0,19.0,47,10,True,False
46,wscepfl0090,wscepfl0090_pos_49,9.0,0.09896907216494845,388.0,0.0,0.03,0.0,19.0,47,10,False,True
